id,pmt_id,board_id,channel_id,measurement_time,run_id,run_type,run_tag,hv,temperature,spe_gain,dark_count_rate,after_pulse_probability,notes,energy_resolution
417,LV2386,3,1,"2026-07-24 00:00:00",xr085,relics_test,,800.0,,4.785,1133.0,,,0.429075235109718
444,LV2371,9,2,"2026-07-24 00:00:00",xr112,relics_test,,800.0,,4.44375,474.0,,,0.429113924050633
361,LV2337,6,4,"2026-07-24 00:00:00",xr029,relics_test,,800.0,,4.089375,360.0,,,0.436497019715727
325,LV2411,0,5,"2026-07-24 14:32:16",00323,,,,,10.2242403171609,,,,0.439281405418492
395,LV2297,13,4,"2026-07-24 00:00:00",xr063,relics_test,,800.0,,4.18875,452.0,,,0.441316025067144
307,LV2417,0,1,"2026-07-24 14:18:01",00313,,,,,11.634572656571,,,,0.442140307682621
442,LV2369,8,4,"2026-07-24 00:00:00",xr110,relics_test,,800.0,,2.9625,546.0,,,0.444177215189873
447,LV2397,10,0,"2026-07-24 00:00:00",xr115,relics_test,,800.0,,4.50375,588.0,,,0.44421315570358
423,LV2392,4,2,"2026-07-24 00:00:00",xr091,relics_test,,800.0,,4.246875,875.0,,,0.445033112582781
292,LV2234,0,0,"2026-07-24 14:06:29",00296,,,,,11.5014493808024,,,,0.446057967132658
450,LV2401,10,4,"2026-07-24 00:00:00",xr118,relics_test,,800.0,,4.14375,334.0,,,0.446696832579186
435,LV2361,7,0,"2026-07-24 00:00:00",xr103,relics_test,,800.0,,3.530625,909.0,,,0.451141795007966
375,LV2248,9,4,"2026-07-24 00:00:00",xr043,relics_test,,800.0,,4.134375,1647.0,,,0.452244897959184
443,LV2370,9,0,"2026-07-24 00:00:00",xr111,relics_test,,800.0,,3.230625,809.0,,,0.452524666279745
304,LV2231,0,5,"2026-07-24 14:11:43",00309,,,,,10.7091993607719,,,,0.459720823637487
291,LV2410,0,6,"2026-07-24 13:44:55",00320,,,,,10.683234888194,,,,0.464829861587958
293,LV2232,0,1,"2026-07-24 14:06:29",00296,,,,,10.3298851140196,,,,0.465222955600786
308,LV2433,0,2,"2026-07-24 14:18:01",00313,,,,,9.48120636215383,,,,0.465810204184003
299,LV2233,0,0,"2026-07-24 14:11:43",00309,,,,,10.9997066817977,,,,0.470003342536218
335,LV2320,1,3,"2026-07-24 00:00:00",xr003,relics_test,,800.0,,3.571875,5881.0,,,0.472808398950131
446,LV2395,9,4,"2026-07-24 00:00:00",xr114,relics_test,,800.0,,3.504375,984.0,,,0.473729266987694
328,LV2430,0,1,"2026-07-24 14:35:41",00326,,,,,8.70191124684405,,,,0.474773077037818
296,LV2268,0,4,"2026-07-24 14:06:29",00296,,,,,10.9641193151555,,,,0.478820332001259
404,LV2312,15,3,"2026-07-24 00:00:00",xr072,relics_test,,800.0,,2.72625,619.0,,,0.479848693259972
412,LV2381,2,1,"2026-07-24 00:00:00",xr080,relics_test,,800.0,,4.03875,1002.0,,,0.480037140204271
301,LV2235,0,2,"2026-07-24 14:11:43",00309,,,,,9.00276445410046,,,,0.482477137162712
424,LV2393,4,3,"2026-07-24 00:00:00",xr092,relics_test,,800.0,,3.838125,1107.0,,,0.489008304836346
445,LV2372,9,3,"2026-07-24 00:00:00",xr113,relics_test,,800.0,,3.313125,2642.0,,,0.492529711375212
319,LV2334,0,6,"2026-07-24 14:24:37",00317,,,,,8.08754120614766,,,,0.492673481704194
331,LV2431,0,4,"2026-07-24 14:35:41",00326,,,,,9.74990035633045,,,,0.49660238763293
